PODER,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,ENTIDAD
Poder Ejecutivo,Salud,LIMA,LIMA,EL AGUSTINO,HOSPITAL NACIONAL HIPOLITO UNANUE (HNHU)
Poder Ejecutivo,Salud,LIMA,LIMA,COMAS,Hospital Nacional Sergio E. Bernales (HNSEB - MINSA)
Poder Ejecutivo,Salud,LIMA,LIMA,MAGDALENA DEL MAR,Hospital Nacional Víctor Larco Herrera (HVLH)
Poder Ejecutivo,Salud,LAMBAYEQUE,CHICLAYO,CHICLAYO,Hospital Regional Docente Las Mercedes (HRDLMCH)
Poder Ejecutivo,Salud,ANCASH,SANTA,NUEVO CHIMBOTE,Hospital Regional Eleazar Guzmán Barrón (HEGB)
Poder Ejecutivo,Salud,HUANUCO,HUANUCO,HUANUCO,HOSPITAL REGIONAL HERMILIO VALDIZAN MEDRANO - HUÁNUCO (HRHVM-HCO)
Poder Ejecutivo,Salud,TUMBES,TUMBES,TUMBES,"HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (HOSPITAL ""JAMO"" II-2)"
Poder Ejecutivo,Salud,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Hospital Regional Zacarias Correa Valdivia de Huancavelica (HRZCV-HVCA)
Poder Ejecutivo,Salud,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,Hospital San Jose del Callao (Hospital San Jose)
Poder Ejecutivo,Salud,LIMA,LIMA,SAN JUAN DE LURIGANCHO,Hospital San Juan de Lurigancho (HSJL)
Poder Ejecutivo,Salud,LIMA,LIMA,MAGDALENA VIEJA,Hospital Santa Rosa (HSR)
